,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
4488,198,0,0,0,0,0,23,61,46,22,12,50,72,6,6,55,0
4489,63,0,0,3,0,9,7,14,10,0,6,11,12,10,0,17,8
4490,1308,29,4,55,17,167,316,474,177,49,38,328,251,154,16,509,34
4491,68,0,0,6,0,6,25,20,13,0,6,34,15,6,0,29,3
4492,209,0,8,19,0,16,63,83,30,12,6,52,59,10,0,94,0
4493,9,0,0,5,0,0,8,0,0,0,0,7,0,0,0,0,0
4494,129,0,0,0,0,10,6,30,36,20,6,26,22,18,0,32,0
4496,172,0,0,6,0,6,25,52,30,18,3,32,34,12,0,52,0
4497,255,15,0,0,0,6,32,74,68,23,14,52,91,6,8,49,14
4498,160,0,0,0,0,0,14,30,38,24,0,30,50,12,0,26,0
4500,39193,4249,410,0,31,660,3017,13543,13260,2371,545,8652,12587,4436,439,6748,918
4501,4195,1023,270,13,8,263,1071,2857,837,156,43,1122,1199,910,72,1753,259
4502,7648,498,255,0,5,170,601,3180,2274,366,45,1850,2242,906,67,1402,223
4503,39790,9466,351,322,124,1337,3716,19831,14584,1937,379,10624,13147,6791,510,9993,1573
4504,19375,563,25,0,10,100,267,2989,7968,1419,276,3219,6231,1840,108,1519,235
4505,22095,2352,109,50,24,394,2531,6085,8184,1364,472,5632,6323,2550,177,4073,556
4506,20447,2987,254,19,7,456,2001,7179,7781,941,285,4933,5325,3448,241,4188,810
4507,15359,2586,892,362,113,1353,5144,8415,5120,730,114,9030,2457,1759,151,7683,573
4508,15988,1476,524,175,28,443,2060,7672,3945,639,148,3735,3805,2765,233,4294,514
4509,30672,5183,538,0,3,436,2262,8888,13632,1680,172,6056,11725,4073,229,4584,706
4510,45714,4860,791,228,180,2267,5686,15884,15605,1829,522,11370,10872,6923,529,11443,1730
4511,8624,456,121,244,38,195,946,2979,3397,398,116,3328,1869,925,63,1952,192
4512,3271,26,8,4,0,42,123,617,1024,292,98,745,934,195,14,270,62
4514,6533,53,6,27,18,134,538,1874,1870,370,133,1692,1614,522,46,970,139
4515,3848,66,13,27,10,49,438,1376,908,184,48,1047,915,320,16,700,110
4516,3988,3,40,40,0,16,96,618,1335,399,127,822,1211,237,17,284,45
4517,836,11,0,5,0,10,144,253,242,22,10,247,203,54,0,187,14
4518,5169,45,20,6,12,49,225,1418,1720,296,80,1364,1294,432,18,617,132
4519,8039,255,425,67,52,144,714,2853,2593,379,114,2117,2179,937,74,1486,198
4520,13068,65,93,12,23,183,608,1895,3957,1609,607,3049,4051,641,30,1023,129
4521,4799,13,13,21,22,82,275,1182,1377,402,112,1308,1338,218,24,579,60
4550,4294,197,33,124,41,131,410,1488,1237,221,76,1184,1192,453,30,724,127
4551,50531,6593,6225,318,192,2239,12753,22413,17861,2827,509,19430,15015,6631,524,16222,1956
4552,7772,173,52,204,41,340,1207,3257,1910,397,110,3016,1448,736,43,1982,210
4553,9669,292,39,28,20,90,389,2423,3273,561,165,1955,2988,794,98,910,296
4554,1790,5,0,0,6,58,159,390,356,144,78,396,476,122,6,188,32
4555,6854,325,51,4,54,146,682,1938,2075,497,140,1751,1850,623,42,1149,169
4556,35291,4957,3300,4,117,1023,7516,13764,12895,2722,622,12235,10971,3994,298,10063,1597
4557,12953,1474,4307,85,89,724,4608,6516,5162,775,94,4962,4816,2498,159,4735,1075
4558,10594,4177,5795,162,131,1717,9245,10002,2951,465,102,8172,3643,2561,273,8728,1716
4559,6558,201,48,199,58,212,838,1629,1749,484,156,1596,1936,550,22,1146,133
4560,29421,3492,1078,195,212,1453,5800,11969,8270,1511,528,9370,8019,3676,244,8126,947
4561,7733,128,159,100,53,270,681,2094,2148,506,169,1967,2195,597,47,1057,191
4562,8063,48,77,5,44,161,529,1993,2237,658,241,2112,2232,575,34,797,171
4563,8690,72,292,39,55,279,1266,2773,2442,454,134,2857,2023,707,48,1702,178
4564,7175,1884,1415,57,66,370,2709,4741,2396,353,58,4081,2282,1171,97,2812,467
4565,12494,746,358,62,103,838,1745,5195,3517,611,152,4118,2902,1321,61,3516,456
4566,5495,1790,687,13,58,244,2459,3315,2248,404,28,3605,1460,726,39,2787,265
4567,8081,1398,1392,5,16,253,2867,4259,2751,497,79,4027,2415,1043,65,2718,578
4568,3480,17,0,22,32,102,343,1149,862,160,44,989,830,310,26,517,88
4569,1592,0,0,0,14,50,220,656,262,50,18,384,354,178,0,313,56
4570,40674,1195,346,374,418,1789,5522,15244,10058,1783,473,11382,8770,4553,317,9983,1165
4571,779,4,0,7,20,46,128,275,128,34,8,224,156,70,0,158,34
4572,1756,306,1628,65,67,551,1954,1173,657,192,40,1524,739,376,28,1711,357
4573,23698,3805,1678,63,77,1096,4634,10203,8125,1345,153,7980,7814,2941,164,6129,1003
4574,1296,0,0,17,26,82,223,454,201,48,28,412,257,84,16,289,38
4575,19825,2933,3062,69,98,842,6235,9111,6679,1261,171,7791,6075,2688,207,6712,1252
4580,4241,127,120,175,85,318,881,2366,1022,118,22,2250,508,356,23,1749,158
4581,853,134,69,65,34,102,302,505,249,30,14,488,144,78,7,525,52
4600,813,3,14,0,6,80,169,354,128,8,18,305,115,65,6,276,26
4601,1001,13,12,12,15,52,185,380,219,40,20,304,217,63,0,335,25
4605,4018,30,122,16,28,106,609,1534,719,191,56,974,678,580,55,930,74
4606,2021,70,16,6,16,124,338,970,388,86,17,643,399,217,28,691,51
4608,816,0,0,4,20,36,116,328,140,44,18,260,152,50,10,212,24
4610,12928,288,553,54,62,409,2026,4780,3672,586,127,3529,2819,1408,159,3558,449
4611,109,0,0,0,0,13,12,30,30,0,0,36,26,8,0,16,0
4612,186,0,0,13,13,24,36,58,32,0,3,61,32,18,0,70,6
4613,737,7,0,8,27,52,200,267,97,24,9,252,113,48,8,255,31
4614,1069,23,0,17,11,42,189,510,194,30,7,358,158,119,28,344,40
4615,6083,17,132,110,96,439,1179,2588,1129,216,72,1986,1075,635,59,1972,201
4620,392,0,0,3,0,28,82,158,52,24,7,130,54,30,12,122,18
4621,1545,8,0,34,21,110,308,694,245,57,12,508,273,126,14,522,57
4625,2188,64,7,43,20,96,382,887,478,81,12,674,440,203,20,663,56
4626,1604,9,66,51,15,85,237,701,335,59,14,510,334,103,30,455,98
4627,704,17,20,12,5,38,149,251,140,34,12,191,141,66,10,219,12
4630,1986,8,11,17,12,58,343,917,422,80,14,683,388,151,14,602,51
4650,29446,964,584,270,217,1585,6033,12468,6000,1135,250,9065,5723,3546,265,8909,973
4655,54915,4711,1183,734,348,1925,9981,21851,18562,2307,594,20333,11189,6767,497,16155,2015
4659,4635,24,100,186,53,395,731,2002,1191,158,52,2193,626,376,62,1390,188
4660,6759,73,87,184,95,326,1153,2973,1358,240,58,2799,1133,526,38,1956,202
4662,730,0,0,0,16,14,98,254,122,32,14,172,132,96,16,139,20
4670,69605,4036,3474,879,468,3402,13774,30348,17691,2712,678,22451,15405,8541,714,21383,2350
4671,5347,63,20,83,126,441,1045,1946,926,172,48,1734,959,524,44,1391,238
4673,585,0,3,18,0,67,93,246,86,18,8,213,99,45,0,141,22
4674,1341,0,0,17,51,185,310,450,177,43,6,514,202,100,14,387,44
4676,147,0,0,9,10,22,37,32,34,0,10,40,26,12,0,43,0
4677,3238,64,125,77,112,288,683,1269,623,118,22,1196,707,241,25,940,130
4678,637,75,16,20,0,19,170,280,148,26,8,300,142,45,16,147,24
4680,45731,2426,2450,364,155,1189,6011,16530,15955,2229,424,11398,12944,5280,364,11970,1370
4694,103,0,0,0,0,0,20,51,10,0,0,34,16,6,0,24,0
4695,964,0,0,7,0,56,143,310,158,44,16,281,212,76,8,156,18
4697,99,0,0,0,0,0,18,32,14,0,0,35,20,20,0,10,0
4699,417,0,0,7,6,14,67,120,76,22,10,116,104,29,0,74,0
4700,12942,783,1035,27,83,866,4015,5834,2408,649,186,3205,3037,1970,262,5271,603
4701,36501,2379,1077,34,74,999,6488,15351,8858,1665,376,8839,9299,4742,426,9943,1163
4702,25198,181,101,296,212,1007,1940,7049,7844,1120,281,6076,6360,2355,175,4640,515
4703,20056,796,1155,183,174,1072,3026,6536,6837,1073,189,6293,5379,1988,161,5141,507
4704,116,0,0,0,0,6,9,46,29,6,0,36,20,6,0,29,6
4705,303,0,0,15,8,21,36,98,93,22,8,111,80,21,0,77,6
4706,72,0,0,0,0,0,30,34,6,0,0,34,16,10,0,24,0
4707,205,4,0,0,8,18,52,91,16,6,6,47,44,14,0,91,8
4709,632,4,0,0,0,3,11,231,176,0,0,124,194,20,0,85,20
4710,4312,156,81,32,21,146,582,1532,1515,156,29,1437,858,502,40,1089,96
4711,1702,0,0,4,0,3,28,334,573,156,50,443,490,108,6,110,8
4712,221,0,0,8,0,15,33,86,56,0,0,52,50,28,7,66,0
4713,786,24,118,5,0,35,236,206,92,12,0,41,91,260,21,154,10
4714,2362,17,8,35,32,181,749,933,300,68,12,601,346,304,42,967,104
4715,5640,171,214,41,5,224,660,2180,1486,273,62,1437,1610,453,51,1328,178
4716,777,0,10,0,10,13,41,294,202,30,8,224,192,26,6,150,16
4717,3659,39,108,3,6,32,277,1708,804,132,36,757,988,361,32,835,91
4718,2013,18,26,10,8,45,160,884,442,70,18,452,528,160,18,515,39
4719,886,0,12,17,11,44,143,374,152,46,22,245,200,58,6,275,14
4720,11701,905,642,64,71,314,1504,3778,4172,697,165,2713,3842,1059,105,2758,403
4721,2914,184,20,70,35,119,331,1171,749,164,65,760,838,207,18,813,68
4722,1248,17,23,5,0,30,129,428,322,80,43,349,333,63,14,294,6
4723,1216,41,6,20,0,25,127,421,308,66,38,322,325,90,0,258,22
4724,477,6,0,15,0,5,66,150,96,34,25,114,126,34,3,129,6
4725,1237,3,22,10,11,66,263,461,275,56,20,359,252,105,16,417,30
4726,297,0,4,20,0,18,57,132,50,23,14,63,69,32,0,126,14
4727,233,0,0,7,0,0,36,86,42,18,10,68,55,24,0,66,10
4728,186,0,4,4,0,12,26,56,36,12,13,36,48,14,0,52,0
4730,2404,95,39,66,16,98,492,964,576,155,60,645,581,234,33,855,94
4731,179,0,0,6,0,21,39,76,20,6,0,78,34,10,0,52,14
4732,119,0,0,0,0,11,25,32,16,12,14,30,32,10,0,44,0
4733,104,0,0,4,0,4,10,25,20,8,24,31,41,0,0,10,0
4735,685,6,14,35,0,95,169,310,130,31,10,238,142,54,6,341,28
4736,93,0,4,5,0,8,19,31,14,6,9,30,20,3,0,46,0
4737,6976,262,58,52,36,225,948,2687,1600,239,61,1944,1778,616,77,1401,161
4738,959,3,4,28,20,58,169,333,152,30,12,326,237,46,6,186,17
4739,300,0,0,6,0,21,52,134,50,6,0,95,44,16,0,100,0
4740,66404,6657,2413,560,293,3078,11543,27282,19830,3040,459,18547,19079,7714,759,18931,2358
4741,5729,87,19,59,51,222,757,2043,1219,262,70,1715,1571,337,26,960,93
4742,628,40,0,21,8,21,77,216,181,32,28,165,177,41,8,173,35
4743,342,34,0,6,0,29,52,164,70,9,0,77,91,42,0,129,3
4744,6479,808,47,3,8,117,648,2610,1954,228,82,1303,2290,545,51,1340,196
4745,2037,75,27,3,0,8,171,991,491,48,16,469,555,197,14,509,45
4746,1140,44,41,3,0,10,140,645,131,40,10,249,365,58,4,286,28
4750,5139,155,95,53,30,149,380,1569,1786,183,24,1202,1521,554,39,865,87
4751,3957,172,14,16,3,32,348,1376,1250,172,33,1092,1165,298,12,587,101
4753,4143,20,0,4,6,44,167,839,1634,164,11,869,1358,262,26,353,48
4754,1999,26,9,40,12,30,144,584,616,64,17,465,551,172,6,249,38
4756,516,0,0,11,6,54,107,175,89,16,12,134,133,46,0,150,20
4757,279,3,0,0,8,32,54,91,32,3,0,90,49,27,0,50,6
4798,535,0,0,8,3,11,74,243,100,8,0,147,119,49,0,120,16
4799,799,7,21,20,22,76,147,292,130,20,10,290,172,57,0,208,18
4800,8272,209,323,128,91,418,1328,3166,1872,322,82,2354,2182,742,53,1938,183
4802,6550,969,1724,310,171,584,2762,3491,2241,310,83,3000,2136,1039,69,3010,700
4804,1530,22,26,3,22,62,204,719,307,62,29,439,321,144,6,499,27
4805,8921,891,19,234,202,645,1889,3393,2188,286,81,2717,2099,873,100,2851,392
4806,3240,86,4,49,26,118,538,1408,642,98,14,1036,709,290,19,812,52
4807,8490,758,56,104,62,366,2029,4087,1828,180,20,2720,2061,850,98,2980,226
4808,976,4,3,3,0,13,94,474,186,16,6,259,273,61,6,205,14
4809,871,5,0,6,9,65,119,345,133,36,0,235,190,40,0,234,28
4810,10266,3245,5151,146,149,2106,10918,7143,2297,735,235,6213,3528,2071,289,10566,1444
4811,10373,460,650,101,100,574,1934,3700,3132,556,88,2834,2631,1205,137,2920,573
4812,12162,3618,1164,59,81,1237,7704,6217,2377,677,185,4038,3398,2541,305,7797,829
4814,37283,2630,593,39,129,1249,4359,13745,11343,1761,458,8509,9300,4451,591,8836,1899
4815,18772,517,235,13,4,222,1235,8021,4493,708,209,4048,4262,2634,184,3482,525
4816,7851,52,89,95,85,491,1324,2428,1509,255,123,2201,1588,717,128,1637,205
4817,27097,1345,115,120,45,414,1828,8787,9739,1186,234,6530,7196,3178,245,4687,708
4818,28880,490,70,244,77,383,1090,7365,11161,1072,196,6150,8390,2719,188,3623,746
4819,1816,161,88,38,19,146,814,913,254,49,13,837,266,186,26,866,103
4820,7876,623,13,156,78,346,1545,3229,1837,358,128,2301,1764,1007,90,2443,230
4821,926,191,3,11,3,66,228,468,240,44,53,312,265,97,12,385,44
4822,525,12,0,0,0,30,45,250,103,21,16,164,149,41,0,122,7
4823,507,6,0,3,6,39,94,159,97,52,56,125,167,23,0,194,18
4824,2149,30,166,121,33,184,391,881,433,78,34,530,581,214,37,760,66
4825,14496,1771,468,436,75,1233,2883,6402,2558,447,117,3283,4139,1878,195,4540,572
4828,161,0,0,4,12,16,28,54,12,6,0,34,32,26,0,46,8
4829,346,9,5,10,11,44,85,126,42,14,6,97,61,48,6,139,10
4830,1416,21,73,48,11,58,229,342,131,17,6,151,303,144,34,166,22
4849,895,136,83,43,0,161,407,573,134,17,0,435,145,116,7,586,66
4850,9191,260,192,111,58,415,1833,4486,1794,237,96,3243,1858,840,63,3058,190
4852,3019,232,224,72,43,221,1028,1285,656,96,12,1302,631,322,31,1031,151
4854,4575,83,223,82,41,239,803,1824,871,175,28,1351,1021,421,44,1181,209
4855,685,3,4,16,12,38,138,276,100,12,6,208,156,59,0,181,22
4856,613,0,9,6,0,48,66,262,112,24,0,176,123,72,0,130,26
4858,1348,29,6,33,12,17,173,579,268,44,12,358,332,117,10,298,26
4859,435,7,0,6,0,18,96,174,59,18,0,109,86,39,8,106,14
4860,8896,856,371,96,39,435,2165,4203,1606,300,77,2487,2076,1109,149,2987,325
4861,1317,29,5,29,3,52,276,548,224,44,0,349,292,124,22,384,20
4865,7578,112,78,27,23,119,728,2301,2189,350,89,1765,1926,800,54,1216,158
4868,18099,1254,1333,110,136,339,3247,7685,4852,839,165,4646,4803,2778,264,4483,669
4869,18054,175,588,12,48,251,1237,5005,5962,686,104,3299,4731,2262,151,2650,437
4870,44770,6322,12194,498,777,6939,21428,18414,12413,2673,860,15093,14318,8436,798,22976,3503
4871,8530,124,232,431,188,590,1209,2764,1487,326,119,2211,1860,874,101,1956,188
4872,3448,10,39,169,63,310,695,1154,557,160,59,1130,725,309,26,922,76
4873,5537,178,181,80,56,355,1295,2269,1081,84,38,1671,1174,583,65,1667,177
4874,3520,851,136,105,50,249,1044,1296,697,83,25,904,1371,369,51,792,127
4875,5545,768,238,49,12,270,957,1407,934,312,253,626,1462,964,97,1026,100
4876,2135,227,34,83,17,134,373,527,273,56,18,190,514,410,33,350,20
4877,2615,879,714,122,56,460,1767,1426,833,100,38,1782,811,331,28,1502,371
4878,11029,1513,842,66,46,567,3754,4466,3261,533,94,3518,2967,1696,119,4024,685
4879,16859,1096,1847,38,56,651,3809,6166,6397,885,163,6192,4657,2098,161,4524,676
4880,10989,89,537,200,87,610,1621,4051,2635,374,89,2996,2414,1252,118,2761,380
4881,3970,73,104,141,78,289,817,1407,689,139,59,1203,865,381,43,956,148
4882,2800,4,0,38,20,81,208,1045,746,120,24,857,642,191,22,528,66
4883,7115,440,314,96,64,351,1702,3330,1577,261,61,2188,1443,944,103,2624,257
4884,1695,14,5,22,11,93,257,693,384,72,8,607,334,146,0,393,46
4885,3522,7,65,11,22,249,468,1327,718,148,54,1072,743,311,18,833,61
4886,791,11,5,5,21,56,159,307,109,24,6,235,160,64,0,229,34
4887,1695,8,11,20,26,162,365,585,289,37,28,486,288,163,24,553,51
4888,2364,17,32,16,63,210,600,811,327,66,32,733,343,283,30,698,84
4890,1104,18,57,29,9,92,211,390,88,16,18,171,223,188,24,220,20
4891,290,3,25,106,37,120,132,115,34,19,0,171,36,36,0,264,12
4892,3589,746,60,67,27,116,741,1205,478,73,23,519,827,609,139,654,60
4895,3640,176,41,135,143,459,881,1109,437,50,24,785,709,517,68,1178,97
5000,787,4258,9269,116,534,5827,12668,4306,421,62,61,6475,1683,1137,443,11045,3516
5006,1395,2727,1259,6,91,1176,3410,2535,548,145,34,2451,1025,401,126,3408,512
5007,3645,2462,1291,29,9,764,4135,3635,558,84,16,2421,1371,878,208,3493,931
5008,10758,2296,574,51,14,556,3858,6344,1576,218,65,2824,3305,1527,259,4159,731
5009,4104,830,291,28,4,100,1475,2397,690,82,14,1174,1319,563,59,1506,236
5010,4214,1195,286,19,10,278,1162,2522,793,121,23,939,1522,675,136,1579,222
5011,9311,2764,1170,18,12,449,4144,6113,1759,251,43,3117,3591,1431,199,3910,620
5012,7736,3050,508,36,17,351,2723,4855,1306,232,79,1634,3165,1543,210,2730,497
5013,8039,1645,233,42,18,363,2848,4550,1044,201,39,1666,2339,1427,192,3203,387
5014,9612,2027,329,21,9,555,3939,5823,1392,208,38,2692,2885,1432,195,4469,386
5015,3596,1316,676,44,20,826,2068,3045,562,52,15,1685,1102,773,84,2776,249
5016,7424,680,504,7,11,381,2210,4138,1288,149,33,2134,2123,977,59,2785,220
5017,3624,1070,280,0,6,137,1018,3158,515,75,7,1018,1023,990,86,1705,205
5018,4264,916,150,30,27,105,806,3149,967,132,16,1885,1276,509,43,1459,93
5019,5657,2292,508,38,12,508,2932,4503,1205,166,19,2403,1926,1165,125,3657,288
5020,2347,719,26,3,0,42,516,1490,763,87,0,974,824,321,25,741,52
5021,4290,1697,444,0,0,113,2358,2890,1433,200,42,2564,1438,557,59,2327,163
5022,10725,2953,1737,7,25,770,4452,6632,3278,485,64,4516,4309,1297,120,5141,418
5023,11990,3564,1334,31,26,411,4749,9550,2025,220,53,3909,4175,2270,281,5961,731
5024,11050,1592,1266,22,25,507,2836,5792,3130,454,76,3556,3964,1202,149,3746,306
5025,7784,961,273,0,0,139,1025,4572,1650,191,38,2105,2459,815,117,1933,264
5031,6752,2103,798,15,11,592,3358,4370,1224,178,61,2427,2077,1018,186,3200,1000
5032,9652,1362,1833,0,23,745,4070,5299,1969,348,58,3075,3538,1094,177,4228,577
5033,5921,1474,840,7,48,587,3066,3948,733,111,30,1867,1840,911,187,3123,669
5034,6875,723,1978,7,25,522,3564,3653,1503,268,42,2640,2542,749,114,3071,507
5035,3356,1025,1668,8,25,463,3315,2295,593,89,22,1740,1542,587,123,2423,424
5037,7610,2285,1038,0,36,906,3481,5142,1253,192,43,2706,2705,966,195,3832,773
5038,10893,3312,2520,16,46,1280,6722,7599,1763,176,36,4522,4176,1507,347,6159,1136
5039,6748,1116,951,0,21,608,2634,3985,1117,151,59,1836,2272,859,112,3135,484
5040,1882,310,4,0,21,163,219,1100,445,74,10,655,558,178,16,630,37
5041,10400,1263,1130,40,4,382,3055,4628,2640,452,82,2760,3929,1020,145,3097,350
5042,7792,2319,578,0,8,350,3088,4946,1550,319,106,2763,2574,977,152,3372,707
5043,11926,5272,1837,0,18,1050,6588,10933,1989,286,72,4749,4274,2450,378,8247,1201
5044,7562,2821,362,4,6,879,2975,5002,2013,353,50,3084,2833,941,82,4135,321
5045,7590,4101,3114,72,11,1877,8096,6193,2058,305,84,5646,3313,1343,168,7682,705
5046,5920,2908,303,0,0,423,2892,5351,1131,151,28,2569,2147,1141,126,3625,464
5047,6312,2262,38,5,13,292,1179,5460,1084,175,41,2061,2024,1128,154,2506,529
5048,10830,3132,424,45,15,531,3924,7283,2402,375,59,4184,3512,1398,157,5004,493
5049,8764,759,327,45,15,143,1405,4357,2130,418,54,2725,2654,890,58,2019,261
5050,5111,327,0,0,7,85,554,2023,1399,286,66,1374,1464,443,36,1021,132
5051,13903,258,393,7,4,114,1394,4783,4087,720,121,3312,4479,984,80,2249,185
5052,6037,291,22,31,12,124,681,2151,1669,395,46,1618,1907,392,32,1108,94
5061,6841,1149,1281,10,0,448,2948,3445,1836,422,56,2619,2506,748,132,2817,403
5062,11385,1776,1458,36,14,559,3333,5087,3218,858,130,3667,4444,1178,99,3556,345
5063,7465,2694,1720,0,5,1092,4947,4581,1737,256,32,3076,3293,1164,128,4476,583
5064,7706,1492,616,4,14,354,1933,3545,2088,559,94,2441,3032,697,73,2259,162
5065,6707,2604,1092,13,18,1106,3563,3598,1827,414,67,2591,3174,835,80,3757,263
5066,10251,1506,162,5,8,189,1583,3827,3093,841,122,2749,3870,834,56,2119,140
5067,4592,3739,1583,27,28,1315,5240,4526,1086,173,18,3516,2259,881,177,4863,827
5068,7623,2812,1406,33,19,951,5243,4178,1949,387,83,3109,3156,1141,120,4959,462
5069,5755,1306,790,47,8,691,2710,2831,1370,325,58,2077,2109,590,71,2828,429
5070,9648,2592,2251,6,19,649,5851,6628,2040,318,84,3939,3658,1356,197,5873,680
5072,10587,1787,918,0,18,589,3025,5125,2766,551,118,3024,3824,1099,154,3721,453
5073,12856,2080,1335,0,0,277,2789,7633,3131,492,104,3579,4700,1681,189,3917,508
5074,9765,2803,1117,7,7,472,3002,7593,1924,238,26,3263,3725,1536,188,4174,550
5075,9143,1094,449,5,50,225,1525,5402,1986,236,71,2715,2789,934,97,2803,255
5076,8244,1056,141,0,0,30,623,3887,2534,443,81,2221,2971,751,63,1516,108
5081,6717,1650,860,20,18,650,2836,3221,1818,479,114,2568,2448,669,89,3075,376
5082,11593,2252,1702,36,14,867,4716,6103,2370,364,72,3695,4311,1237,234,4208,963
5083,5790,1288,628,8,6,309,2777,2999,1054,178,17,1669,2117,708,121,2370,420
5084,6797,2706,684,33,3,322,2538,4644,1039,203,55,1670,2470,1156,220,2620,891
5085,17556,4653,686,0,43,649,4360,11664,2991,414,58,4574,6396,2135,363,5813,1159
5086,13947,2091,750,0,49,463,2755,8488,2271,348,42,3246,4744,1658,180,4212,580
5087,9194,1705,980,47,34,311,2956,6111,1545,219,46,2726,3137,1146,162,3580,640
5088,3049,375,157,0,0,47,793,1925,354,68,16,745,878,419,54,1019,141
5089,6585,139,6,0,0,23,217,2689,1676,350,58,1633,1938,515,18,855,76
5090,6135,1172,124,0,0,172,2312,3435,1206,176,35,2086,1761,660,55,2730,143
5091,7369,100,139,0,6,65,429,3670,1603,250,60,1908,2071,662,45,1326,119
5092,16071,1138,253,32,5,352,1801,9007,3091,347,74,3939,4489,1803,178,4024,404
5093,8481,346,231,0,0,42,867,4994,1306,195,18,2006,2183,996,112,1976,230
5094,801,68,0,0,0,39,108,481,56,10,0,166,200,100,26,170,39
5095,16395,2746,1431,12,36,330,4125,9297,3333,553,88,4164,5552,2019,273,4899,1055
5096,12369,777,104,0,6,233,1079,6403,2357,430,76,2698,3295,1560,162,2730,300
5097,12006,439,793,0,4,177,1703,6978,2304,336,44,3484,3343,1352,93,3172,216
5098,11392,670,185,0,13,319,943,6720,1773,268,32,2687,2976,1296,130,2838,311
5106,0,0,17,0,0,32,24,0,0,0,0,0,0,0,0,45,0
5107,16749,971,206,0,6,279,1364,7781,2955,355,64,2866,4800,1958,206,2872,360
5108,34848,4744,1254,14,55,1019,5413,20398,5576,743,146,6648,9878,5733,519,9949,1181
5109,18257,1359,221,0,26,280,2269,9969,3256,480,80,4117,4580,2479,185,4841,406
5110,8345,211,0,220,62,208,520,3564,1568,236,40,1441,2309,954,78,1470,173
5111,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,20,0
5112,13851,4841,253,0,55,949,2914,10712,2431,412,99,3194,3935,3351,264,6542,670
5113,13580,4127,186,0,105,550,1966,11713,1532,223,51,2610,3256,3878,365,5672,816
5114,33802,1053,107,0,21,242,1377,14690,7794,1206,206,5944,8505,4812,308,5626,741
5115,11938,553,25,0,6,65,772,5682,2581,224,47,2000,2897,1996,94,2216,325
5116,8844,1173,42,32,36,372,1402,4712,2266,284,39,2309,2210,1536,70,2910,228
5117,3835,32,0,0,0,8,171,629,1438,234,44,778,1273,160,22,325,32
5118,16423,1509,114,25,91,471,2477,7098,4654,748,161,4516,4385,1928,145,4576,360
5120,2490,56,0,103,17,100,85,709,811,125,28,517,767,196,17,469,31
5121,2237,18,0,0,0,46,260,844,483,89,16,564,492,183,26,478,49
5125,18534,1147,7,13,3,96,2151,7011,5420,976,112,4362,5641,1833,131,3792,163
5126,7065,106,0,0,0,46,239,3705,1379,196,40,1663,1956,662,28,1195,128
5127,7087,547,20,0,8,51,783,3272,1924,266,40,1797,2085,832,34,1498,119
5131,936,7,0,0,0,0,28,258,279,72,10,250,274,42,0,78,14
5132,414,0,0,0,0,0,28,108,114,26,0,126,122,6,0,40,12
5133,347,0,0,0,0,0,12,102,86,28,12,74,110,16,0,28,6
5134,398,0,0,0,0,0,46,126,72,26,0,106,114,16,0,48,0
5136,493,3,0,0,0,8,34,156,122,38,8,106,148,38,8,45,10
5137,516,0,0,0,0,6,63,176,106,32,16,152,150,26,8,42,0
5138,322,0,0,0,0,12,36,114,54,16,6,76,98,16,0,28,0
5139,269,0,0,0,0,0,28,100,66,0,0,66,72,20,0,28,8
5140,434,0,0,0,0,0,8,142,130,8,6,108,134,26,0,42,6
5141,697,11,0,0,0,0,40,229,171,34,6,174,223,26,8,56,14
5142,526,20,0,0,0,14,106,210,102,20,6,126,160,28,0,123,8
5144,397,0,0,0,0,6,28,176,62,18,6,122,114,10,0,62,8
5150,55,0,0,0,0,0,6,8,10,6,6,14,14,0,0,8,0
5151,379,0,0,0,0,8,26,130,80,32,0,84,118,22,6,38,0
5152,5980,82,37,0,0,155,608,1911,1538,433,90,1561,1801,333,26,975,70
5153,6162,8,28,8,14,104,600,1967,1527,374,78,1571,1798,369,22,865,99
5154,3310,7,0,0,8,28,128,1012,912,233,50,794,1026,201,8,320,12
5155,3790,12,4,0,0,59,410,1494,823,176,22,828,1072,322,20,723,54
5156,941,0,4,0,0,12,74,331,242,40,24,238,279,50,10,113,6
5157,2799,3,3,8,6,44,214,845,736,189,56,792,797,139,14,347,28
5158,23557,639,10,0,0,98,1063,10290,6257,918,140,5662,7106,2133,110,3592,297
5159,30903,1101,28,73,32,189,2305,13445,7967,1393,210,8183,8946,2657,166,5483,356
5160,18,0,0,0,0,14,10,0,0,0,0,8,0,0,0,11,0
5161,9056,725,10,0,15,172,1251,5494,1676,161,30,2346,2320,1167,101,2797,184
5162,30500,2667,114,190,41,535,5240,17354,5798,789,128,7832,7768,4213,352,9372,808
5163,12910,804,144,0,6,501,957,7792,2294,329,67,3002,2916,2038,116,3664,378
